"address","lat","lng"
"מסמיה 0, קריית מלאכי","31.730202","34.746996"
"ז'בוטינסקי 22, קריית מלאכי","31.7304156","34.7466933"
"לוי שבתאי 12, חיפה","32.81347179999999","34.9940308"
"דרך חברון 21, באר שבע","31.243857","34.809777"
"שד' מלכי ישראל 178, קריית גת","31.6036056","34.7590213"
"נוף הרים 1, מבשרת ציון","31.800895","35.149302"
"באיילה 9, אשקלון","31.6618655","34.5788375"
"דלק מבוא ביתר","31.71960199999999","35.10296"
"דרך העצמאות 158, חיפה","32.8246713","34.990813"
"שאול המלך 14, באר שבע","31.2639567","34.7839169"
"שונצינו 12, ת""א","32.0667591","34.7876656"
"דרך ישראל בר יהודה, חיפה","32.786736","35.029418"
"הירקון 106, ת""א","32.0797641","34.7681859"
"יאיר שטרן 9, רמלה","31.9382527","34.8781519"
"שדרות וימצן 10, קריית מוצקין","32.8334147","35.0754747"
"חלוצי התעשייה 73, קריית חיים","32.8191071","35.0540505"
"יונתן נתניהו 5, קריית מלאכי","31.7353952","34.7472525"
"אלוף דורי 20, חיפה","32.78331","35.021925"
"מרכז מסחרי ד 115, אשדוד","31.804381","34.655314"
"שדרות ההסתדרות 88, חיפה","32.7936469","35.0396401"
"דרך צרפת 63,חיפה","32.8214762","34.9641793"
"העבודה 68, אשקלון","31.6663895","34.5856278"
"מונטיפיורי 17, תל אביב יפו","32.0651128","34.7710918"
"זאבי רחבעם 4, אשקלון","31.6974802","34.5752548"
"העליה 1, בית שמש","31.7498039","34.9864238"
"איתם 1, מעלה אדומים","31.79295279999999","35.3345319"
"דרך המצדה 266, באר שבע","31.2533317","34.7711345"
"הנשיא 82, אשקלון","31.6642138","34.5623492"
"העצמאות 18, אשקלון","31.6760906","34.5718901"
"פרופ' איינשטיין 20, קרית אתא","32.8136304","35.1157958"
"בשונצינו 5, תל אביב","32.0660215","34.7874165"
"ההסתדרות 460, אשקלון","31.65468","34.556675"
"בח'ורי 2, חיפה","32.7940463","34.989571"
"מרכז מסחרי 47, בית שמש","31.747041","34.988099"
"עמק דותן 111, מודיעין","31.8975539","35.0074413"
"בלוינסקי 48, תל אביב","32.0594876","34.7731182"
"פה נוף 5, אשקלון","31.67781759999999","34.5562203"
"החלוץ 59, חיפה","32.8088521","35.0008201"
"צומת קומממיות","31.651255","34.766054"
"צפניה 8, אשקלון","31.6742798","34.5697095"
"החוצבים 5, מבשרת ציון","31.79336279999999","35.1450936"
" בן צבי 84 , תל אביב יפו","32.0421597","34.7720544"
"החוצבים 3, מבשרת ציון","31.79336279999999","35.1450936"
"שדרות סנהדרין 34, יבנה","31.8849385","34.7397037"
"בהמסגר 24, תל אביב","32.0625222","34.7850956"
"שכונת רמות, ירושלים","31.8192337","35.2025507"
"החוצבים 2, מבשרת ציון","31.79336279999999","35.1450936"
"הזית 17, נשר","32.7727358","35.03924689999999"
"ירקון 22, תל אביב יפו","32.0706386","34.76503"
"צה""ל 13, אשקלון","31.6651145","34.5887152"
"צפניה 10, אשקלון","31.6742798","34.5697095"
"קידרון 10, גבעת זאב","31.862712","35.1749548"
"הרצליה 32, חיפה","32.8142926","34.9921582"
"חלוצי התעשייה 116, חיפה","32.8211399","35.0511299"
"אחד העם 13, תל אביב","32.0637451","34.7707679"
"מנדל זינגר 20, חיפה","32.7672401","35.0144407"
"בעוזיאל 73, רמת גן","32.0723572","34.8231329"
"יצחק רבין 5, בני עי""ש","31.7909868","34.7574616"
"שד' בן גוריון 9, אשקלון","31.6672916","34.5574129"
"דרך הנמל באשדוד","31.8646","34.736266"
"דרך בר יהודה 138, נשר","32.7734136","35.0446375"
"צומת פלוגות 998 קרית גת","31.611148","34.768459"
"אלנבי 115, תל אביב יפו","32.0624497","34.7733384"
"ברמז דוד 57, אשקלון","31.669202","34.5843965"
"טבנקין 76, באר שבע","31.2536237","34.772464"
"דרך יד לבנים 29, חיפה","32.7996347","35.0124384"
"נווה יעקוב 38,, ירושלים","31.8381109","35.2394177"
"פלימן 14, חיפה","32.7902421","34.9632214"
"שדרות הסנהדרין, יבנה","31.88642399999999","34.737568"
"צומת ניר גלים, אשדוד","31.829117","34.68358"
