task number,coustumerName,address,telephone,creationTime,FRZ,כמות,level,toolshed,vipCustomer,due date,due date Time,WindowToSupply(h),timeToFix(m),decripation
1,מתוק בלב מודיעין,"עמק דותן 111, מודיעין",08-6347281,21/03/2016,65,65,1,yes,no,27/05/2016,07:00,4,15,
2,מינימרקט ג'ליל אבו גוש,"השלום 88, מודיעין",02-5791875,16/03/2016,65,60,0.92,yes,no,27/05/2016,07:00,4,15,
3,קיוסק השלום אבו גוש,"השלום 88, מודיעין",050-5219535,24/02/2016,90,50,0.56,yes,no,27/05/2016,07:00,4,15,
4,פינוקים מבשרת ציון,"החוצבים 5, מבשרת ציון",02-5330333,23/03/2016,240,120,0.5,yes,no,27/05/2016,10:00,4,15,
5,דלק קסטל,"החוצבים 42, מבשרת ציון",052-2679500,16/03/2016,225,150,0.67,yes,yes,27/05/2016,06:00,4,15,[+40 זכוכית][-30 זכוכית]
6,פז מבשרת ציון (דליה),"נוף הרים 1, מבשרת ציון",052-5193339,02/12/2015,240,220,0.92,yes,no,27/05/2016,06:00,4,15,
7,פיצוציית הקסטל,"החוצבים 2, מבשרת ציון",050-5900117,16/03/2016,160,100,0.63,yes,no,27/05/2016,09:00,4,15,
8,מפגש המזל מבשרת ציון,"החוצבים 3, מבשרת ציון",050-9229940,10/02/2016,65,40,0.62,yes,no,27/05/2016,08:30,4,15,
9,סונול רמות אלון,"שכונת רמות, ירושלים",054-9733861,14/03/2016,110,60,0.55,yes,no,27/05/2016,06:00,4,15,
10,מתוק לי י-ם,"מאיר גרשון 30, ירושלים",02-6564456,21/03/2016,330,150,0.45,yes,no,27/05/2016,08:00,4,15,
11,פז פסגת זאב (אופיר),"שדרות משה דיין, ירושלים",050-7744751,15/02/2016,240,180,0.75,yes,no,27/05/2016,06:00,4,15,
12,פיצוציית מואיז הקטן י-ם,"השישה עשר 15, ירשלים",02-6568848,21/03/2016,65,65,1,yes,no,27/05/2016,09:00,4,15,
13,גולדה י-ם,"ריבלין יוסף 3, ירושלים", 054-5408066,14/03/2016,65,35,0.54,yes,no,27/05/2016,06:00,4,15,
14,תבליני עזורה פסגת זאב,"השישה עשר 3, ירושלים",02-5702914,21/03/2016,65,40,0.62,yes,no,27/05/2016,08:00,4,15,
15,פיצוחי הגבעה גבעת זאב,"קידרון 10, גבעת זאב",02-5734278,14/03/2016,160,80,0.5,yes,no,27/05/2016,08:00,4,15,
16,דלק גבעונים החדשה,"צומת גבעת זאב, מזרחי גבעת זאב",02-5734394,07/03/2016,240,180,0.75,yes,no,27/05/2016,06:00,4,15,
17,א.א פיופ רמת אשכול,"פארן 7, ירושלים",054-7726204,21/03/2016,160,120,0.75,yes,no,27/05/2016,08:30,4,15,
18,סופרמרקט ג'עפר י-ם,"בית חנינא 0, ירושלים",02-5836146,14/03/2016,90,60,0.67,yes,no,27/05/2016,08:00,4,15,
