task number,coustumerName,address,telephone,creationTime,FRZ,כמות,level,toolshed,vipCustomer,due date,WindowToSupply,timeToFix,decripation
1,מתוק בלב מודיעין,"עמק דותן 111, מודיעין",08-6347281,21/03/2016,65,65,100%,yes,no,13/05/2016,07:00,01:30,
2,מינימרקט ג'ליל אבו גוש,"השלום 88, מודיעין",02-5791875,16/03/2016,65,60,92%,yes,no,13/05/2016,07:00,01:30,
3,קיוסק השלום אבו גוש,"השלום 88, מודיעין",050-5219535,24/02/2016,90,50,56%,yes,no,13/05/2016,07:00,01:30,
4,פינוקים מבשרת ציון,"החוצבים 5, מבשרת ציון",02-5330333,23/03/2016,240,120,50%,yes,no,13/05/2016,10:00,01:30,
5,דלק קסטל,"החוצבים 42, מבשרת ציון",052-2679500,16/03/2016,225,150,67%,yes,yes,13/05/2016,06:00,01:30,[+40 זכוכית][-30 זכוכית]
6,פז מבשרת ציון (דליה),"נוף הרים 1, מבשרת ציון",052-5193339,02/12/2015,240,220,92%,yes,no,13/05/2016,06:00,01:30,
7,פיצוציית הקסטל,"החוצבים 2, מבשרת ציון",050-5900117,16/03/2016,160,100,63%,yes,no,13/05/2016,09:00,01:30,
8,מפגש המזל מבשרת ציון,"החוצבים 3, מבשרת ציון",050-9229940,10/02/2016,65,40,62%,yes,no,13/05/2016,08:30,01:30,
9,סונול רמות אלון,"שכונת רמות, ירושלים",054-9733861,14/03/2016,110,60,55%,yes,no,13/05/2016,06:00,01:30,
10,מתוק לי י-ם,"מאיר גרשון 30, ירושלים",02-6564456,21/03/2016,330,150,45%,yes,no,13/05/2016,08:00,01:30,
11,פז פסגת זאב (אופיר),"שדרות משה דיין, ירושלים",050-7744751,15/02/2016,240,180,75%,yes,no,13/05/2016,06:00,01:30,
12,פיצוציית מואיז הקטן י-ם,"השישה עשר 15, ירשלים",02-6568848,21/03/2016,65,65,100%,yes,no,13/05/2016,09:00,01:30,
13,גולדה י-ם,"ריבלין יוסף 3, ירושלים", 054-5408066,14/03/2016,65,35,54%,yes,no,13/05/2016,06:00,01:30,
14,תבליני עזורה פסגת זאב,"השישה עשר 3, ירושלים",02-5702914,21/03/2016,65,40,62%,yes,no,13/05/2016,08:00,01:30,
15,פיצוחי הגבעה גבעת זאב,"קידרון 10, גבעת זאב",02-5734278,14/03/2016,160,80,50%,yes,no,13/05/2016,08:00,01:30,
16,דלק גבעונים החדשה,"צומת גבעת זאב, מזרחי גבעת זאב",02-5734394,07/03/2016,240,180,75%,yes,no,13/05/2016,06:00,01:30,
17,א.א פיופ רמת אשכול,"פארן 7, ירושלים",054-7726204,21/03/2016,160,120,75%,yes,no,13/05/2016,08:30,01:30,
18,סופרמרקט ג'עפר י-ם,"בית חנינא 0, ירושלים",02-5836146,14/03/2016,90,60,67%,yes,no,13/05/2016,08:00,01:30,
19,תבליני עזורה נווה יעקב,"נווה יעקוב 38,, ירושלים",052-7460008,07/03/2016,65,65,100%,yes,no,13/05/2016,08:30,01:30,
20,רמי לוי מישור אדומים,"איתם 1, מעלה אדומים",055-6602518,21/03/2016,250,120,48%,yes,no,13/05/2016,06:00,01:30,[החלפת מנורה]
21,"פיצוציית טופז ב""ש","לואי פקרד 2, באר שבע",08-6487576,02/03/2016,65,50,77%,yes,no,13/05/2016,08:00,01:30,
22,"סופר זול ב""ש","שאול המלך 14, באר שבע",08-6419628,02/03/2016,65,35,54%,yes,no,13/05/2016,06:00,01:30,
23,סונול מכתשים,"דרך חברון פינת יצחק נפחא, באר שבע",054-6733783,16/03/2016,90,60,67%,yes,no,13/05/2016,06:00,01:30,
24,סונול בן גוריון,"דרך חברון 131, באר שבע",054-6733524 ,11/10/2015,160,100,63%,yes,no,13/05/2016,06:00,01:30,
25,"בנא משקאות ביג ב""ש","דרך חברון 21, באר שבע",08-9107310,16/03/2016,160,70,44%,yes,no,13/05/2016,09:30,01:30,
26,דלק מפגש הספורט,"דוד בן גוריון 42, באר שבע",08-6272685,17/02/2016,90,70,78%,yes,no,13/05/2016,06:00,01:30,
27,"חלום מתוק ב""ש","המלך שלמה 3, באר שבע",08-6497676,02/03/2016,40,30,75%,yes,no,13/05/2016,08:00,01:30,
28,"סופר יעלים ב""ש","יעלים 86, באר שבע",08-6102533,09/03/2016,60,40,67%,yes,no,13/05/2016,07:00,01:30,
29,סונול מצדה,"דרך המצדה 266, באר שבע",054-6733674,01/10/2015,240,160,67%,yes,no,13/05/2016,06:00,01:30,
30,"ליאל ב""ש","הבדיל 30, באר שבע",050-7301807,,65,50,77%,yes,no,13/05/2016,06:00,01:30,
31,"מינימרקט שלומי את בן ב""ש","בחנה רובינא 22, באר שבע",052-6581118,09/03/2016,65,40,62%,yes,no,13/05/2016,08:00,01:30,
32,"המתוקים של נועה ב""ש","החשמונאים 15, באר שבע",052-3031730,23/03/2016,65,65,100%,yes,no,13/05/2016,07:30,01:30,
33,"המתוקים של שלומי ב""ש","סנהדרין 125, באר שבע",054-3222262,09/03/2016,65,35,54%,yes,no,13/05/2016,08:30,01:30,
34,"סופרמרקט האחים ב""ש","טבנקין 76, באר שבע",052-7444549,09/03/2016,90,50,56%,yes,no,13/05/2016,06:30,01:30,
